Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	42448	7032	34914
mitochondrial-Ath-AsnGTT-183766	0	0	0
mitochondrial-Ath-AspGTC-171828	0	0	0
mitochondrial-Ath-CysGCA-171829	0	0	0
mitochondrial-Ath-GlnTTG-171830	0	0	0
mitochondrial-Ath-GluTTC-171831	538	300	646
mitochondrial-Ath-GlyGCC-171832	0	0	0
mitochondrial-Ath-HisGTG-171833	0	0	0
mitochondrial-Ath-IleCAT-171837	0	0	1
mitochondrial-Ath-LysTTT-171834	84	30	208
mitochondrial-Ath-ProTGG-171838	0	0	0
mitochondrial-Ath-SerGCT-171840	0	0	0
mitochondrial-Ath-SerGGA-171839	0	0	0
mitochondrial-Ath-SerTGA-171841	0	0	0
mitochondrial-Ath-TrpCCA-171842	1	0	15
mitochondrial-Ath-TyrGTA-171843	0	0	0
mitochondrial-Ath-TyrGTA-171844	0	0	0
mitochondrial-Ath-eMetCAT-171836	4	1	1
mitochondrial-Ath-iMetCAT-171835	0	0	0
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	0	0	0
mitochondrial-Ath-stemloop-309033	0	0	0
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	0	0	0
mitochondrial-Ath-stemloop-358842	0	0	0
mitochondrial-Ath-stemloop-36709	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	0	0	0
mitochondrial-Ath-stemloop-c1924	0	0	0
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
mitochondrial-Bla-iMetCAT-99991	0	0	0
mitochondrial-Lpy-GluTTC-LpChr7B	588	263	642
mitochondrial-Lpy-IleCAT-LpChr36	49	7	145
mitochondrial-Lpy-LysTTT-LpChr1C2	122	35	198
mitochondrial-Lpy-TrpCCA-LpChr43_cplike	472	155	401
mitochondrial-Lpy-eMetCAT-LpChr43_cplike	5	1	0
mitochondrial-Lpy-iMetCAT-LpChr3A	927	362	1093
mitochondrial-Osu-GluTTC-Chr1	510	260	677
mitochondrial-Osu-GluTTC-Chr18	0	0	0
mitochondrial-Osu-GluTTC-Chr30	0	0	44
mitochondrial-Osu-IleCAT-Chr25	55	13	174
mitochondrial-Osu-SerGGA-Chr49	0	0	0
mitochondrial-Osu-TrpCCA-Chr2	75	19	53
mitochondrial-Osu-UndetNNN-Chr32	0	0	0
mitochondrial-Osu-iMetCAT-Chr9	0	0	0
nuclear-Ath-AlaAGC-171748	54991	35387	241382
nuclear-Ath-AlaAGC-171749	28478	17770	119275
nuclear-Ath-AlaAGC-183743	24069	14743	90060
nuclear-Ath-AlaCGC-171750	27388	18626	119330
nuclear-Ath-AlaCGC-171752	7674	4020	15487
nuclear-Ath-AlaCGC-183744	49	16	57
nuclear-Ath-AlaTGC-171747	55271	34597	213799
nuclear-Ath-AlaTGC-171751	38143	23158	104031
nuclear-Ath-ArgACG-171679	167	101	183
nuclear-Ath-ArgACG-171680	2	15	20
nuclear-Ath-ArgACG-171681	3	0	0
nuclear-Ath-ArgACG-171682	24	19	20
nuclear-Ath-ArgACG-171683	5718	2714	4123
nuclear-Ath-ArgACG-171772	0	0	5
nuclear-Ath-ArgCCG-171678	99222	36344	150083
nuclear-Ath-ArgCCG-171686	0	0	0
nuclear-Ath-ArgCCG-183763	9	3	39
nuclear-Ath-ArgCCT-171715	2429	2099	4090
nuclear-Ath-ArgCCT-171716	15684	11781	24783
nuclear-Ath-ArgCCT-171719	7	3	15
nuclear-Ath-ArgTCG-171676	68860	45943	84712
nuclear-Ath-ArgTCG-171677	46986	18438	50458
nuclear-Ath-ArgTCT-171693	7	6	21
nuclear-Ath-ArgTCT-171694	772	163	634
nuclear-Ath-ArgTCT-171695	3	1	8
nuclear-Ath-ArgTCT-171696	919	192	644
nuclear-Ath-ArgTCT-171714	20896	5240	18451
nuclear-Ath-ArgTCT-171717	1003	247	1125
nuclear-Ath-ArgTCT-183731	2	2	3
nuclear-Ath-AsnGTT-171725	110	54	294
nuclear-Ath-AsnGTT-171727	41424	20375	71242
nuclear-Ath-AsnGTT-171729	55	45	124
nuclear-Ath-AsnGTT-183736	76	46	187
nuclear-Ath-AsnGTT-183737	0	0	1
nuclear-Ath-AsnGTT-183738	1679	992	3907
nuclear-Ath-AsnGTT-183739	3	0	70
nuclear-Ath-AspGTC-171804	167593	73521	99073
nuclear-Ath-AspGTC-183754	1105	553	2792
nuclear-Ath-AspGTC-183755	2	5	10
nuclear-Ath-AspGTC-183756	65	25	20435
nuclear-Ath-AspGTC-183757	19	6	8128
nuclear-Ath-CysGCA-171684	0	0	6
nuclear-Ath-CysGCA-171742	0	0	5
nuclear-Ath-CysGCA-171756	5	0	33
nuclear-Ath-CysGCA-171757	27841	6494	369336
nuclear-Ath-CysGCA-171758	0	0	0
nuclear-Ath-CysGCA-171759	20	7	2740
nuclear-Ath-CysGCA-171762	0	0	0
nuclear-Ath-CysGCA-183716	0	0	11
nuclear-Ath-CysGCA-183742	3	3	0
nuclear-Ath-CysGCA-183745	0	0	0
nuclear-Ath-GlnCTG-171763	948	180	890
nuclear-Ath-GlnCTG-171765	11	3	67
nuclear-Ath-GlnCTG-171773	2	8	8
nuclear-Ath-GlnCTG-171774	52690	12200	27187
nuclear-Ath-GlnCTG-171775	407	147	260
nuclear-Ath-GlnTTG-171777	54391	21444	45057
nuclear-Ath-GlnTTG-183749	0	2	1
nuclear-Ath-GluCTC-171821	1	0	2
nuclear-Ath-GluCTC-171824	10235	2018	10059
nuclear-Ath-GluCTC-171825	1124	254	3580
nuclear-Ath-GluCTC-183765	11	0	3970
nuclear-Ath-GluTTC-171820	15	4	45
nuclear-Ath-GluTTC-171822	6	1	24
nuclear-Ath-GluTTC-171826	39000	8096	25282
nuclear-Ath-GluTTC-183764	89	5	140
nuclear-Ath-GlyCCC-171713	25428	12445	36302
nuclear-Ath-GlyGCC-171688	24	20	59
nuclear-Ath-GlyGCC-171690	228	65	1939
nuclear-Ath-GlyGCC-171691	104934	37790	138594
nuclear-Ath-GlyGCC-171692	1204	667	2807
nuclear-Ath-GlyGCC-183730	0	0	0
nuclear-Ath-GlyTCC-171720	31519	20206	93853
nuclear-Ath-HisGTG-171768	29519	11600	50939
nuclear-Ath-HisGTG-171770	9545	4409	22972
nuclear-Ath-HisGTG-183747	8	3	4
nuclear-Ath-HisGTG-183748	0	0	0
nuclear-Ath-IleAAT-171735	25326	19141	113008
nuclear-Ath-IleAAT-171736	0	0	1556
nuclear-Ath-IleTAT-171721	0	0	29
nuclear-Ath-IleTAT-171764	2512	1867	9618
nuclear-Ath-LeuAAG-171816	12581	5752	26458
nuclear-Ath-LeuAAG-171817	12735	5628	26949
nuclear-Ath-LeuCAA-171786	5474	2367	11059
nuclear-Ath-LeuCAA-171787	583	184	623
nuclear-Ath-LeuCAA-171789	37792	15288	35427
nuclear-Ath-LeuCAA-171790	0	0	0
nuclear-Ath-LeuCAA-183751	0	0	240
nuclear-Ath-LeuCAG-171781	43334	20988	74719
nuclear-Ath-LeuTAA-171698	3600	1281	3729
nuclear-Ath-LeuTAA-171699	2266	725	2031
nuclear-Ath-LeuTAA-171791	52	19	54
nuclear-Ath-LeuTAG-171673	17	3	33
nuclear-Ath-LeuTAG-171675	30730	20715	84733
nuclear-Ath-LeuTAG-171685	27420	18755	78284
nuclear-Ath-LysCTT-171703	1160	477	1740
nuclear-Ath-LysCTT-171704	124189	43943	62316
nuclear-Ath-LysCTT-183733	37	24	755
nuclear-Ath-LysTTT-171707	68	15	52
nuclear-Ath-LysTTT-171712	6966	2209	3923
nuclear-Ath-LysTTT-183734	45	5	20
nuclear-Ath-LysTTT-183735	0	0	8
nuclear-Ath-PheGAA-171718	20505	14400	31370
nuclear-Ath-ProAGG-171737	21022	3306	13820
nuclear-Ath-ProAGG-171738	0	2	664
nuclear-Ath-ProAGG-171743	33	13	471
nuclear-Ath-ProCGG-171739	5146	878	6359
nuclear-Ath-ProCGG-171760	0	0	0
nuclear-Ath-ProCGG-171761	644	168	747
nuclear-Ath-ProTGG-171741	5722	987	5500
nuclear-Ath-ProTGG-171744	20177	3410	13759
nuclear-Ath-ProTGG-183741	1972	453	2414
nuclear-Ath-SerAGA-171812	9	12	1325
nuclear-Ath-SerAGA-171813	3166	2229	27122
nuclear-Ath-SerAGA-171814	153	193	626
nuclear-Ath-SerAGA-171815	669	374	2522
nuclear-Ath-SerAGA-183750	14	6	34
nuclear-Ath-SerAGA-183759	687	557	5987
nuclear-Ath-SerAGA-183760	2	0	1
nuclear-Ath-SerAGA-183761	0	0	1
nuclear-Ath-SerAGA-183762	187	112	1295
nuclear-Ath-SerCGA-171782	12177	11796	29609
nuclear-Ath-SerCGA-171785	0	0	0
nuclear-Ath-SerCGA-171794	44	19	18
nuclear-Ath-SerGCT-171796	36	31	119
nuclear-Ath-SerGCT-171797	11	29	137
nuclear-Ath-SerGCT-171798	35766	20435	43817
nuclear-Ath-SerGCT-171800	1097	516	787
nuclear-Ath-SerGCT-183728	3	0	0
nuclear-Ath-SerGCT-183752	22	23	22
nuclear-Ath-SerGCT-183753	5	4	20
nuclear-Ath-SerTGA-171783	7	1	25
nuclear-Ath-SerTGA-171784	0	0	0
nuclear-Ath-SerTGA-171792	5754	7300	17344
nuclear-Ath-SerTGA-171793	96	66	51
nuclear-Ath-ThrAGT-171722	7	4	31
nuclear-Ath-ThrAGT-171723	0	0	17
nuclear-Ath-ThrAGT-171731	4435	2386	7408
nuclear-Ath-ThrCGT-171709	69959	31541	52526
nuclear-Ath-ThrCGT-171710	5	2	148
nuclear-Ath-ThrCGT-171711	59	19	99
nuclear-Ath-ThrTGT-171700	1967	1110	3896
nuclear-Ath-ThrTGT-171705	3974	1958	6159
