Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	222524	24604	64731
mitochondrial-Ath-AsnGTT-183766	0	0	0
mitochondrial-Ath-AspGTC-171828	0	0	0
mitochondrial-Ath-CysGCA-171829	0	0	0
mitochondrial-Ath-GlnTTG-171830	0	0	0
mitochondrial-Ath-GluTTC-171831	0	0	0
mitochondrial-Ath-GlyGCC-171832	0	0	0
mitochondrial-Ath-HisGTG-171833	0	0	0
mitochondrial-Ath-IleCAT-171837	0	0	0
mitochondrial-Ath-LysTTT-171834	0	0	0
mitochondrial-Ath-ProTGG-171838	0	0	1
mitochondrial-Ath-SerGCT-171840	0	0	0
mitochondrial-Ath-SerGGA-171839	0	0	0
mitochondrial-Ath-SerTGA-171841	0	0	0
mitochondrial-Ath-TrpCCA-171842	1	0	0
mitochondrial-Ath-TyrGTA-171843	0	0	0
mitochondrial-Ath-TyrGTA-171844	0	0	0
mitochondrial-Ath-eMetCAT-171836	0	0	0
mitochondrial-Ath-iMetCAT-171835	2	0	2
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	0	0	0
mitochondrial-Ath-stemloop-309033	0	0	0
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	0	0	0
mitochondrial-Ath-stemloop-358842	0	0	0
mitochondrial-Ath-stemloop-36709	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	0	0	0
mitochondrial-Ath-stemloop-c1924	0	0	0
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
mitochondrial-Bla-iMetCAT-99991	15	2	7
mitochondrial-Lpy-GluTTC-LpChr7B	0	0	0
mitochondrial-Lpy-IleCAT-LpChr36	0	0	0
mitochondrial-Lpy-LysTTT-LpChr1C2	0	0	0
mitochondrial-Lpy-TrpCCA-LpChr43_cplike	0	0	0
mitochondrial-Lpy-eMetCAT-LpChr43_cplike	0	0	0
mitochondrial-Lpy-iMetCAT-LpChr3A	0	0	0
mitochondrial-Osu-GluTTC-Chr1	0	0	0
mitochondrial-Osu-GluTTC-Chr18	0	0	0
mitochondrial-Osu-GluTTC-Chr30	0	0	0
mitochondrial-Osu-IleCAT-Chr25	0	0	0
mitochondrial-Osu-SerGGA-Chr49	0	0	0
mitochondrial-Osu-TrpCCA-Chr2	0	0	0
mitochondrial-Osu-UndetNNN-Chr32	0	0	0
mitochondrial-Osu-iMetCAT-Chr9	0	0	0
nuclear-Ath-AlaAGC-171748	1141	277	578
nuclear-Ath-AlaAGC-171749	1313	347	860
nuclear-Ath-AlaAGC-183743	574	151	283
nuclear-Ath-AlaCGC-171750	4	0	11
nuclear-Ath-AlaCGC-171752	354	102	202
nuclear-Ath-AlaCGC-183744	9	0	0
nuclear-Ath-AlaTGC-171747	1174	266	671
nuclear-Ath-AlaTGC-171751	1203	262	580
nuclear-Ath-ArgACG-171679	3	0	0
nuclear-Ath-ArgACG-171680	4	0	1
nuclear-Ath-ArgACG-171681	2420	476	377
nuclear-Ath-ArgACG-171682	2	1	2
nuclear-Ath-ArgACG-171683	125	13	14
nuclear-Ath-ArgACG-171772	0	0	0
nuclear-Ath-ArgCCG-171678	2974	431	375
nuclear-Ath-ArgCCG-171686	0	0	0
nuclear-Ath-ArgCCG-183763	1	0	0
nuclear-Ath-ArgCCT-171715	0	0	22
nuclear-Ath-ArgCCT-171716	1042	182	218
nuclear-Ath-ArgCCT-171719	0	0	2
nuclear-Ath-ArgTCG-171676	3060	491	589
nuclear-Ath-ArgTCG-171677	0	0	0
nuclear-Ath-ArgTCT-171693	2	0	1
nuclear-Ath-ArgTCT-171694	87	6	20
nuclear-Ath-ArgTCT-171695	0	0	0
nuclear-Ath-ArgTCT-171696	120	10	9
nuclear-Ath-ArgTCT-171714	1016	35	74
nuclear-Ath-ArgTCT-171717	32	3	6
nuclear-Ath-ArgTCT-183731	0	1	0
nuclear-Ath-AsnGTT-171725	124	22	70
nuclear-Ath-AsnGTT-171727	830	212	329
nuclear-Ath-AsnGTT-171729	0	0	12
nuclear-Ath-AsnGTT-183736	4	2	1
nuclear-Ath-AsnGTT-183737	0	0	0
nuclear-Ath-AsnGTT-183738	27	7	23
nuclear-Ath-AsnGTT-183739	0	0	16
nuclear-Ath-AspGTC-171804	2079	311	967
nuclear-Ath-AspGTC-183754	2	0	0
nuclear-Ath-AspGTC-183755	0	0	3
nuclear-Ath-AspGTC-183756	0	0	674
nuclear-Ath-AspGTC-183757	1	0	18
nuclear-Ath-CysGCA-171684	0	0	0
nuclear-Ath-CysGCA-171742	0	0	0
nuclear-Ath-CysGCA-171756	0	0	0
nuclear-Ath-CysGCA-171757	311	29	194
nuclear-Ath-CysGCA-171758	0	0	0
nuclear-Ath-CysGCA-171759	0	0	13
nuclear-Ath-CysGCA-171762	1	0	0
nuclear-Ath-CysGCA-183716	0	0	0
nuclear-Ath-CysGCA-183742	1	0	1
nuclear-Ath-CysGCA-183745	0	0	0
nuclear-Ath-GlnCTG-171763	210	17	50
nuclear-Ath-GlnCTG-171765	29	1	35
nuclear-Ath-GlnCTG-171773	2	0	4
nuclear-Ath-GlnCTG-171774	31	2	13
nuclear-Ath-GlnCTG-171775	188	11	95
nuclear-Ath-GlnTTG-171777	85	7	21
nuclear-Ath-GlnTTG-183749	0	0	0
nuclear-Ath-GluCTC-171821	0	0	0
nuclear-Ath-GluCTC-171824	174	13	64
nuclear-Ath-GluCTC-171825	120	15	40
nuclear-Ath-GluCTC-183765	0	0	9
nuclear-Ath-GluTTC-171820	4	2	8
nuclear-Ath-GluTTC-171822	3	1	15
nuclear-Ath-GluTTC-171826	1983	167	652
nuclear-Ath-GluTTC-183764	2	0	26
nuclear-Ath-GlyCCC-171713	3733	683	3007
