Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	27625	3603	11021
mitochondrial-Ath-AsnGTT-183766	326	35	155
mitochondrial-Ath-AspGTC-171828	477	104	246
mitochondrial-Ath-CysGCA-171829	1475	403	314
mitochondrial-Ath-GlnTTG-171830	73	9	19
mitochondrial-Ath-GluTTC-171831	135	55	106
mitochondrial-Ath-GlyGCC-171832	632	103	137
mitochondrial-Ath-HisGTG-171833	333	67	81
mitochondrial-Ath-IleCAT-171837	10	8	4
mitochondrial-Ath-LysTTT-171834	34	8	33
mitochondrial-Ath-ProTGG-171838	272	70	94
mitochondrial-Ath-SerGCT-171840	272	71	242
mitochondrial-Ath-SerGGA-171839	63	17	25
mitochondrial-Ath-SerTGA-171841	243	51	59
mitochondrial-Ath-TrpCCA-171842	1583	416	418
mitochondrial-Ath-TyrGTA-171843	6	0	3
mitochondrial-Ath-TyrGTA-171844	58	22	91
mitochondrial-Ath-eMetCAT-171836	1	1	2
mitochondrial-Ath-iMetCAT-171835	31	17	12
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	3	0	1
mitochondrial-Ath-stemloop-309033	16	3	9
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	21	4	9
mitochondrial-Ath-stemloop-358842	0	0	0
mitochondrial-Ath-stemloop-36709	3	0	2
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	28	11	21
mitochondrial-Ath-stemloop-c1924	0	2	10
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	2	0	4
mitochondrial-Ath-stemloop-c83962	0	0	0
mitochondrial-Bla-iMetCAT-99991	0	0	0
mitochondrial-Lpy-GluTTC-LpChr7B	160	77	130
mitochondrial-Lpy-IleCAT-LpChr36	0	0	0
mitochondrial-Lpy-LysTTT-LpChr1C2	26	11	33
mitochondrial-Lpy-TrpCCA-LpChr43_cplike	2	0	0
mitochondrial-Lpy-eMetCAT-LpChr43_cplike	0	3	0
mitochondrial-Lpy-iMetCAT-LpChr3A	0	0	0
mitochondrial-Osu-GluTTC-Chr1	171	69	125
mitochondrial-Osu-GluTTC-Chr18	64	15	72
mitochondrial-Osu-GluTTC-Chr30	0	0	8
mitochondrial-Osu-IleCAT-Chr25	0	0	0
mitochondrial-Osu-SerGGA-Chr49	1	0	0
mitochondrial-Osu-TrpCCA-Chr2	0	0	0
mitochondrial-Osu-UndetNNN-Chr32	0	0	0
mitochondrial-Osu-iMetCAT-Chr9	0	0	0
nuclear-Ath-AlaAGC-171748	1773	811	3897
nuclear-Ath-AlaAGC-171749	4251	2101	11126
nuclear-Ath-AlaAGC-183743	2423	1205	5542
nuclear-Ath-AlaCGC-171750	577	164	991
nuclear-Ath-AlaCGC-171752	895	243	1091
nuclear-Ath-AlaCGC-183744	878	296	1255
nuclear-Ath-AlaTGC-171747	5092	2114	10169
nuclear-Ath-AlaTGC-171751	633	253	1227
nuclear-Ath-ArgACG-171679	71	23	23
nuclear-Ath-ArgACG-171680	365	86	103
nuclear-Ath-ArgACG-171681	142	88	35
nuclear-Ath-ArgACG-171682	440	182	149
nuclear-Ath-ArgACG-171683	175	53	64
nuclear-Ath-ArgACG-171772	197	83	95
nuclear-Ath-ArgCCG-171678	4133	1008	1397
nuclear-Ath-ArgCCG-171686	141	37	84
nuclear-Ath-ArgCCG-183763	30	15	20
nuclear-Ath-ArgCCT-171715	144	64	68
nuclear-Ath-ArgCCT-171716	2730	1017	1618
nuclear-Ath-ArgCCT-171719	722	341	790
nuclear-Ath-ArgTCG-171676	7543	2999	4070
nuclear-Ath-ArgTCG-171677	2670	939	1107
nuclear-Ath-ArgTCT-171693	302	73	246
nuclear-Ath-ArgTCT-171694	996	170	931
nuclear-Ath-ArgTCT-171695	403	84	190
nuclear-Ath-ArgTCT-171696	134	23	73
nuclear-Ath-ArgTCT-171714	236	56	84
nuclear-Ath-ArgTCT-171717	305	99	173
nuclear-Ath-ArgTCT-183731	2	0	2
nuclear-Ath-AsnGTT-171725	63	22	74
nuclear-Ath-AsnGTT-171727	1003	286	865
nuclear-Ath-AsnGTT-171729	762	194	544
nuclear-Ath-AsnGTT-183736	181	41	114
nuclear-Ath-AsnGTT-183737	0	0	0
nuclear-Ath-AsnGTT-183738	311	99	290
nuclear-Ath-AsnGTT-183739	100	31	116
nuclear-Ath-AspGTC-171804	14120	4098	5256
nuclear-Ath-AspGTC-183754	5	1	2
nuclear-Ath-AspGTC-183755	0	0	2
nuclear-Ath-AspGTC-183756	2	3	887
nuclear-Ath-AspGTC-183757	2	0	280
nuclear-Ath-CysGCA-171684	361	34	54
nuclear-Ath-CysGCA-171742	86	21	65
nuclear-Ath-CysGCA-171756	151	49	97
nuclear-Ath-CysGCA-171757	70	13	79
nuclear-Ath-CysGCA-171758	476	97	218
nuclear-Ath-CysGCA-171759	129	32	83
nuclear-Ath-CysGCA-171762	35	14	25
nuclear-Ath-CysGCA-183716	0	0	6
nuclear-Ath-CysGCA-183742	249	64	85
nuclear-Ath-CysGCA-183745	33	2	10
nuclear-Ath-GlnCTG-171763	624	99	153
nuclear-Ath-GlnCTG-171765	117	21	35
nuclear-Ath-GlnCTG-171773	297	44	41
nuclear-Ath-GlnCTG-171774	254	36	80
nuclear-Ath-GlnCTG-171775	1652	272	595
nuclear-Ath-GlnTTG-171777	1773	388	785
nuclear-Ath-GlnTTG-183749	848	146	241
nuclear-Ath-GluCTC-171821	732	85	150
nuclear-Ath-GluCTC-171824	1711	185	356
nuclear-Ath-GluCTC-171825	320	28	71
nuclear-Ath-GluCTC-183765	2	0	42
nuclear-Ath-GluTTC-171820	5892	716	1443
nuclear-Ath-GluTTC-171822	897	120	264
nuclear-Ath-GluTTC-171826	218	19	55
nuclear-Ath-GluTTC-183764	238	43	100
nuclear-Ath-GlyCCC-171713	5221	1950	3338
nuclear-Ath-GlyGCC-171688	522	131	204
nuclear-Ath-GlyGCC-171690	455	108	337
nuclear-Ath-GlyGCC-171691	17098	3804	9777
nuclear-Ath-GlyGCC-171692	461	141	179
nuclear-Ath-GlyGCC-183730	5	1	4
nuclear-Ath-GlyTCC-171720	2334	729	1076
nuclear-Ath-HisGTG-171768	1769	490	2531
nuclear-Ath-HisGTG-171770	370	112	263
nuclear-Ath-HisGTG-183747	453	114	392
nuclear-Ath-HisGTG-183748	79	39	128
nuclear-Ath-IleAAT-171735	364	185	822
nuclear-Ath-IleAAT-171736	347	210	1124
nuclear-Ath-IleTAT-171721	56	24	35
nuclear-Ath-IleTAT-171764	57	26	107
nuclear-Ath-LeuAAG-171816	2396	791	4359
nuclear-Ath-LeuAAG-171817	2422	808	4431
nuclear-Ath-LeuCAA-171786	1328	490	1019
nuclear-Ath-LeuCAA-171787	760	255	689
nuclear-Ath-LeuCAA-171789	1459	361	997
nuclear-Ath-LeuCAA-171790	1118	283	692
nuclear-Ath-LeuCAA-183751	96	30	109
nuclear-Ath-LeuCAG-171781	2050	749	2117
nuclear-Ath-LeuTAA-171698	192	61	168
nuclear-Ath-LeuTAA-171699	200	50	202
nuclear-Ath-LeuTAA-171791	71	33	77
nuclear-Ath-LeuTAG-171673	1245	578	2426
nuclear-Ath-LeuTAG-171675	1254	541	1976
nuclear-Ath-LeuTAG-171685	1140	519	1861
nuclear-Ath-LysCTT-171703	331	79	196
nuclear-Ath-LysCTT-171704	5373	985	1238
nuclear-Ath-LysCTT-183733	37	27	11
nuclear-Ath-LysTTT-171707	3082	423	677
nuclear-Ath-LysTTT-171712	582	110	146
nuclear-Ath-LysTTT-183734	2881	494	666
nuclear-Ath-LysTTT-183735	2	0	1
nuclear-Ath-PheGAA-171718	3459	1961	3949
nuclear-Ath-ProAGG-171737	998	121	352
nuclear-Ath-ProAGG-171738	271	35	92
nuclear-Ath-ProAGG-171743	699	105	354
nuclear-Ath-ProCGG-171739	21	1	36
nuclear-Ath-ProCGG-171760	885	127	614
nuclear-Ath-ProCGG-171761	1521	224	852
nuclear-Ath-ProTGG-171741	731	92	342
nuclear-Ath-ProTGG-171744	2722	416	1350
nuclear-Ath-ProTGG-183741	4	0	73
nuclear-Ath-SerAGA-171812	68	38	424
nuclear-Ath-SerAGA-171813	282	108	1221
nuclear-Ath-SerAGA-171814	2	7	12
nuclear-Ath-SerAGA-171815	4	0	7
nuclear-Ath-SerAGA-183750	69	25	66
nuclear-Ath-SerAGA-183759	79	37	340
nuclear-Ath-SerAGA-183760	0	0	0
nuclear-Ath-SerAGA-183761	0	0	0
nuclear-Ath-SerAGA-183762	31	13	70
nuclear-Ath-SerCGA-171782	88	43	131
nuclear-Ath-SerCGA-171785	204	133	237
nuclear-Ath-SerCGA-171794	175	93	170
nuclear-Ath-SerGCT-171796	374	133	242
nuclear-Ath-SerGCT-171797	865	280	485
nuclear-Ath-SerGCT-171798	1680	590	1006
nuclear-Ath-SerGCT-171800	301	88	209
nuclear-Ath-SerGCT-183728	279	76	131
nuclear-Ath-SerGCT-183752	235	89	162
nuclear-Ath-SerGCT-183753	3	2	5
nuclear-Ath-SerTGA-171783	99	55	89
nuclear-Ath-SerTGA-171784	32	30	44
nuclear-Ath-SerTGA-171792	135	118	252
nuclear-Ath-SerTGA-171793	61	22	52
nuclear-Ath-ThrAGT-171722	55	34	66
nuclear-Ath-ThrAGT-171723	131	45	99
nuclear-Ath-ThrAGT-171731	133	32	90
nuclear-Ath-ThrCGT-171709	653	212	129
nuclear-Ath-ThrCGT-171710	680	186	101
nuclear-Ath-ThrCGT-171711	75	20	17
nuclear-Ath-ThrTGT-171700	1718	685	1598
nuclear-Ath-ThrTGT-171705	182	74	257
nuclear-Ath-ThrTGT-183732	21	14	29
nuclear-Ath-TrpCCA-171732	8355	4580	17501
nuclear-Ath-TrpCCA-171734	8052	4307	17488
nuclear-Ath-TrpCCA-183740	16	6	26
nuclear-Ath-TyrGTA-171663	4652	1049	2119
nuclear-Ath-TyrGTA-171666	2	0	4
nuclear-Ath-TyrGTA-171668	0	0	0
nuclear-Ath-TyrGTA-183718	0	0	0
nuclear-Ath-TyrGTA-183719	826	147	329
nuclear-Ath-TyrGTA-183720	2	0	6
nuclear-Ath-TyrGTA-183721	0	0	0
nuclear-Ath-TyrGTA-183722	0	0	0
nuclear-Ath-TyrGTA-183723	0	0	0
nuclear-Ath-TyrGTA-183724	0	0	0
nuclear-Ath-TyrGTA-183725	0	0	0
nuclear-Ath-TyrGTA-183726	0	0	0
nuclear-Ath-TyrGTA-183727	0	0	0
nuclear-Ath-ValAAC-171778	2	3	86
nuclear-Ath-ValAAC-171779	271	188	890
nuclear-Ath-ValCAC-171807	182	103	360
nuclear-Ath-ValCAC-183758	146	80	240
nuclear-Ath-ValTAC-171767	388	168	1277
nuclear-Ath-ValTAC-183729	3	7	35
nuclear-Ath-ValTAC-183746	10	7	40
nuclear-Ath-eMetCAT-171754	1377	426	1462
nuclear-Ath-iMetCAT-171655	5	2	17
nuclear-Ath-iMetCAT-171658	0	0	15
nuclear-Ath-iMetCAT-171659	26	14	62
nuclear-Ath-iMetCAT-183717	0	0	1
nuclear-Bsu-iMetCAT-99995_cplike	0	0	0
nuclear-Bya-TrpCCA-99992	8304	4643	18325
nuclear-Bya-TrpCTA-99993	0	0	0
nuclear-Osu-iMetCAT-99994_cplike	0	0	0
plastid-Ath-AlaTGC-171845	3741	1163	5418
plastid-Ath-ArgACG-171847	3743	1160	1746
plastid-Ath-ArgTCT-171846	1913	367	636
plastid-Ath-AsnGTT-171848	10015	1178	2645
plastid-Ath-AspGTC-171849	3651	1035	2974
plastid-Ath-CysGCA-171850	2189	274	372
plastid-Ath-GlnTTG-171851	5771	994	2297
plastid-Ath-GluTTC-171852	29673	3706	9809
plastid-Ath-GlyGCC-171853	2939	295	552
plastid-Ath-GlyTCC-171854	1786	210	169
plastid-Ath-HisGTG-171855	6999	780	1189
plastid-Ath-IleCAT-171856	125	37	270
plastid-Ath-IleGAT-171857	381	141	692
plastid-Ath-LeuCAA-171859	1163	245	713
plastid-Ath-LeuTAA-171860	463	83	456
plastid-Ath-LeuTAG-171858	2982	588	1036
plastid-Ath-LysTTT-171861	892	203	484
plastid-Ath-PheGAA-171864	7689	1731	4221
plastid-Ath-ProTGG-171865	915	251	328
plastid-Ath-SerGCT-171868	2101	361	1204
plastid-Ath-SerGGA-171866	2532	684	3377
plastid-Ath-SerTGA-171867	5285	580	1223
plastid-Ath-ThrGGT-171869	2268	369	426
plastid-Ath-ThrTGT-171870	1746	270	232
plastid-Ath-TrpCCA-171871	1845	429	509
plastid-Ath-TyrGTA-171872	4219	1037	1806
