Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.081034	1.744376	0.0304032	0.027661	0.909803
Coffea	0.129435	1.348932	0.147877	0.076062	0.514359
Beta	0.090985	1.22285	0.0760512	0.055702	0.732424
Malania	0.08479	0.889818	0.170879	0.054846	0.320963
Dendropemon	0.124614	1.304327	0.170361	0.08656	0.508096
Daenikera	0.075414	1.027741	0.161374	0.03736	0.23151
Ombrophytum	0.30175	2.921857	0.124515	0.052093	0.418364
Lmirabile	0.347592	2.908911	0.149341	0.042397	0.283893
Lpyramidale	0.320112	2.703422	0.19026	0.014917	0.078404
Rhopalocnemis	0.300603	3.602447	0.0584797	0.089743	1.534592
Balanophora	0.301235	4.073895	0.0615965	0.19659	3.191578
Arabidopsis	0.084704	2.300395	0.033889	0.058116	1.714878
Citrus	0.07532	0.9674	0.127609	0.048732	0.381883
Prunus	0.095902	0.966584999999999	0.150513	0.062775	0.417077
Cucumis	0.072933	1.168904	0.0642665	0.039806	0.619396
Glycine	0.097338	0.990306999999999	0.246257	0.051003	0.207114
Anadenanthera	0.080202	1.130916	0.0973956	0.033867	0.347723
Populus	0.087753	0.79467	0.271275	0.066511	0.245179
Vitis	0.05417	0.762304	0.12873	0.038367	0.29804
Nelumbo	0.029067	3.00000000001965e-05	979.957	0.029067	3e-05
Zea	NA	NA	0.0825948	NA	NA
