Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	36800	6867	34117
mitochondrial-Ath-AsnGTT-183766	1	0	0
mitochondrial-Ath-AspGTC-171828	0	1	0
mitochondrial-Ath-CysGCA-171829	0	0	0
mitochondrial-Ath-GlnTTG-171830	0	0	0
mitochondrial-Ath-GluTTC-171831	269	153	368
mitochondrial-Ath-GlyGCC-171832	2	0	0
mitochondrial-Ath-HisGTG-171833	0	1	1
mitochondrial-Ath-IleCAT-171837	0	0	1
mitochondrial-Ath-LysTTT-171834	0	2	6
mitochondrial-Ath-ProTGG-171838	0	0	0
mitochondrial-Ath-SerGCT-171840	0	0	2
mitochondrial-Ath-SerGGA-171839	0	0	0
mitochondrial-Ath-SerTGA-171841	1	0	0
mitochondrial-Ath-TrpCCA-171842	0	0	2
mitochondrial-Ath-TyrGTA-171843	0	0	0
mitochondrial-Ath-TyrGTA-171844	12	11	13
mitochondrial-Ath-eMetCAT-171836	0	0	0
mitochondrial-Ath-iMetCAT-171835	0	0	0
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	0	0	0
mitochondrial-Ath-stemloop-309033	0	0	0
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	0	0	0
mitochondrial-Ath-stemloop-358842	0	0	0
mitochondrial-Ath-stemloop-36709	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	0	0	0
mitochondrial-Ath-stemloop-c1924	0	0	0
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
mitochondrial-Bla-iMetCAT-99991	9	3	69
mitochondrial-Lpy-GluTTC-LpChr7B	281	156	382
mitochondrial-Lpy-IleCAT-LpChr36	94	45	233
mitochondrial-Lpy-LysTTT-LpChr1C2	0	0	6
mitochondrial-Lpy-TrpCCA-LpChr43_cplike	19	8	33
mitochondrial-Lpy-eMetCAT-LpChr43_cplike	0	0	0
mitochondrial-Lpy-iMetCAT-LpChr3A	10	22	24
mitochondrial-Osu-GluTTC-Chr1	281	146	344
mitochondrial-Osu-GluTTC-Chr18	130	60	479
mitochondrial-Osu-GluTTC-Chr30	0	0	17
mitochondrial-Osu-IleCAT-Chr25	81	43	223
mitochondrial-Osu-SerGGA-Chr49	0	0	0
mitochondrial-Osu-TrpCCA-Chr2	693	236	729
mitochondrial-Osu-UndetNNN-Chr32	0	0	3
mitochondrial-Osu-iMetCAT-Chr9	2502	653	1741
nuclear-Ath-AlaAGC-171748	89302	72147	395534
nuclear-Ath-AlaAGC-171749	26731	23397	131788
nuclear-Ath-AlaAGC-183743	24608	20185	130461
nuclear-Ath-AlaCGC-171750	50797	36620	227528
nuclear-Ath-AlaCGC-171752	1604	393	2519
nuclear-Ath-AlaCGC-183744	30018	23937	122051
nuclear-Ath-AlaTGC-171747	108329	93647	597180
nuclear-Ath-AlaTGC-171751	4	204	617
nuclear-Ath-ArgACG-171679	35	15	87
nuclear-Ath-ArgACG-171680	45748	25690	32182
nuclear-Ath-ArgACG-171681	7	9	64
nuclear-Ath-ArgACG-171682	18648	14471	12047
nuclear-Ath-ArgACG-171683	7443	6869	8611
nuclear-Ath-ArgACG-171772	2	1	51
nuclear-Ath-ArgCCG-171678	54427	24434	102589
nuclear-Ath-ArgCCG-171686	1	0	0
nuclear-Ath-ArgCCG-183763	394	234	500
nuclear-Ath-ArgCCT-171715	0	27	248
nuclear-Ath-ArgCCT-171716	45306	39544	77972
nuclear-Ath-ArgCCT-171719	5	5	26
nuclear-Ath-ArgTCG-171676	45498	43691	69872
nuclear-Ath-ArgTCG-171677	70331	61302	80323
nuclear-Ath-ArgTCT-171693	7	1	3
nuclear-Ath-ArgTCT-171694	3412	710	881
nuclear-Ath-ArgTCT-171695	6	1	11
nuclear-Ath-ArgTCT-171696	3547	724	866
nuclear-Ath-ArgTCT-171714	29309	8565	28383
nuclear-Ath-ArgTCT-171717	700	151	567
nuclear-Ath-ArgTCT-183731	6	1	6
nuclear-Ath-AsnGTT-171725	70	29	89
nuclear-Ath-AsnGTT-171727	49152	32494	88380
nuclear-Ath-AsnGTT-171729	1	3	221
nuclear-Ath-AsnGTT-183736	28	9	58
nuclear-Ath-AsnGTT-183737	0	0	0
nuclear-Ath-AsnGTT-183738	42	26	718
nuclear-Ath-AsnGTT-183739	4	13	239
nuclear-Ath-AspGTC-171804	190945	150454	143977
nuclear-Ath-AspGTC-183754	47	45	41
nuclear-Ath-AspGTC-183755	1	2	38
nuclear-Ath-AspGTC-183756	46	30	11064
nuclear-Ath-AspGTC-183757	19	11	3668
nuclear-Ath-CysGCA-171684	6	2	2
nuclear-Ath-CysGCA-171742	0	0	0
nuclear-Ath-CysGCA-171756	4	1	2
nuclear-Ath-CysGCA-171757	30776	9164	22570
nuclear-Ath-CysGCA-171758	0	0	0
nuclear-Ath-CysGCA-171759	20	7	112
nuclear-Ath-CysGCA-171762	2	0	73
nuclear-Ath-CysGCA-183716	0	1	41
nuclear-Ath-CysGCA-183742	3	1	0
nuclear-Ath-CysGCA-183745	0	0	0
nuclear-Ath-GlnCTG-171763	8	9	44
nuclear-Ath-GlnCTG-171765	4464	1083	2141
nuclear-Ath-GlnCTG-171773	17133	3139	6409
nuclear-Ath-GlnCTG-171774	30550	8464	16248
nuclear-Ath-GlnCTG-171775	16751	3255	4830
nuclear-Ath-GlnTTG-171777	123520	49929	96701
nuclear-Ath-GlnTTG-183749	224	59	54
nuclear-Ath-GluCTC-171821	42	13	54
nuclear-Ath-GluCTC-171824	10287	2370	4283
nuclear-Ath-GluCTC-171825	82449	16035	44250
nuclear-Ath-GluCTC-183765	7	6	25
nuclear-Ath-GluTTC-171820	7	0	83
nuclear-Ath-GluTTC-171822	6	3	24
nuclear-Ath-GluTTC-171826	128375	32678	71922
nuclear-Ath-GluTTC-183764	13393	3276	11533
nuclear-Ath-GlyCCC-171713	83260	35466	79490
nuclear-Ath-GlyGCC-171688	19	16	38
nuclear-Ath-GlyGCC-171690	410	119	1263
nuclear-Ath-GlyGCC-171691	162936	63426	202851
nuclear-Ath-GlyGCC-171692	966	922	3119
nuclear-Ath-GlyGCC-183730	0	2	0
nuclear-Ath-GlyTCC-171720	38089	26897	72715
nuclear-Ath-HisGTG-171768	54025	24612	93868
nuclear-Ath-HisGTG-171770	2916	1306	1511
nuclear-Ath-HisGTG-183747	4	6	5
nuclear-Ath-HisGTG-183748	0	0	0
nuclear-Ath-IleAAT-171735	35011	27940	132386
nuclear-Ath-IleAAT-171736	4324	1891	13002
nuclear-Ath-IleTAT-171721	0	1	36
nuclear-Ath-IleTAT-171764	12713	7265	34942
nuclear-Ath-LeuAAG-171816	54109	31240	144182
nuclear-Ath-LeuAAG-171817	55141	31928	146609
nuclear-Ath-LeuCAA-171786	30584	15260	48295
nuclear-Ath-LeuCAA-171787	7222	3588	8539
nuclear-Ath-LeuCAA-171789	115811	59659	123918
nuclear-Ath-LeuCAA-171790	7	3	2
nuclear-Ath-LeuCAA-183751	1	0	237
nuclear-Ath-LeuCAG-171781	95218	55042	156475
nuclear-Ath-LeuTAA-171698	4773	2577	7025
nuclear-Ath-LeuTAA-171699	2673	1410	3788
nuclear-Ath-LeuTAA-171791	337	194	707
nuclear-Ath-LeuTAG-171673	49	29	103
nuclear-Ath-LeuTAG-171675	53043	45321	151941
nuclear-Ath-LeuTAG-171685	43324	36888	136829
nuclear-Ath-LysCTT-171703	1698	1147	2850
nuclear-Ath-LysCTT-171704	196441	107670	126029
nuclear-Ath-LysCTT-183733	120	81	973
nuclear-Ath-LysTTT-171707	11	3	3
nuclear-Ath-LysTTT-171712	808	343	1055
nuclear-Ath-LysTTT-183734	5	4	3
nuclear-Ath-LysTTT-183735	0	0	0
nuclear-Ath-PheGAA-171718	27399	19796	39768
nuclear-Ath-ProAGG-171737	100561	16166	54410
nuclear-Ath-ProAGG-171738	11111	1665	5890
nuclear-Ath-ProAGG-171743	190	33	176
nuclear-Ath-ProCGG-171739	27387	4630	19179
nuclear-Ath-ProCGG-171760	0	0	1
nuclear-Ath-ProCGG-171761	9	32	182
nuclear-Ath-ProTGG-171741	157032	26944	100825
nuclear-Ath-ProTGG-171744	19114	3909	9033
nuclear-Ath-ProTGG-183741	1056	304	2266
nuclear-Ath-SerAGA-171812	661	859	8381
nuclear-Ath-SerAGA-171813	5641	5871	60454
nuclear-Ath-SerAGA-171814	411	549	1442
nuclear-Ath-SerAGA-171815	3432	3395	12811
nuclear-Ath-SerAGA-183750	1	2	34
nuclear-Ath-SerAGA-183759	863	1055	9387
nuclear-Ath-SerAGA-183760	0	0	0
nuclear-Ath-SerAGA-183761	0	0	2
nuclear-Ath-SerAGA-183762	200	178	1416
nuclear-Ath-SerCGA-171782	13310	14444	32032
nuclear-Ath-SerCGA-171785	0	0	2
nuclear-Ath-SerCGA-171794	28	12	8
nuclear-Ath-SerGCT-171796	35	40	222
nuclear-Ath-SerGCT-171797	32188	18042	31975
nuclear-Ath-SerGCT-171798	37800	22281	38575
nuclear-Ath-SerGCT-171800	628	324	349
nuclear-Ath-SerGCT-183728	0	0	1
nuclear-Ath-SerGCT-183752	20	15	6
nuclear-Ath-SerGCT-183753	10	5	8
nuclear-Ath-SerTGA-171783	1	0	12
nuclear-Ath-SerTGA-171784	0	0	0
nuclear-Ath-SerTGA-171792	4433	6845	16574
nuclear-Ath-SerTGA-171793	40	22	35
nuclear-Ath-ThrAGT-171722	0	0	259
nuclear-Ath-ThrAGT-171723	5477	2929	5966
nuclear-Ath-ThrAGT-171731	9423	5280	10949
nuclear-Ath-ThrCGT-171709	58798	20873	13504
nuclear-Ath-ThrCGT-171710	0	1	57
nuclear-Ath-ThrCGT-171711	14	6	14
nuclear-Ath-ThrTGT-171700	22	30	95
nuclear-Ath-ThrTGT-171705	40970	30267	106058
nuclear-Ath-ThrTGT-183732	2	23	59
nuclear-Ath-TrpCCA-171732	260925	158237	547546
nuclear-Ath-TrpCCA-171734	242556	151341	496338
nuclear-Ath-TrpCCA-183740	40	19	188
nuclear-Ath-TyrGTA-171663	23941	7121	18047
nuclear-Ath-TyrGTA-171666	6088	2827	5825
nuclear-Ath-TyrGTA-171668	3	2	101
nuclear-Ath-TyrGTA-183718	0	0	7
nuclear-Ath-TyrGTA-183719	4154	1262	2464
nuclear-Ath-TyrGTA-183720	1	3	15
nuclear-Ath-TyrGTA-183721	0	0	4
