Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	51946	5692	16274
mitochondrial-Ath-AsnGTT-183766	0	0	0
mitochondrial-Ath-AspGTC-171828	0	0	0
mitochondrial-Ath-CysGCA-171829	0	0	0
mitochondrial-Ath-GlnTTG-171830	0	0	0
mitochondrial-Ath-GluTTC-171831	0	0	0
mitochondrial-Ath-GlyGCC-171832	0	0	0
mitochondrial-Ath-HisGTG-171833	1	0	0
mitochondrial-Ath-IleCAT-171837	0	0	0
mitochondrial-Ath-LysTTT-171834	0	0	0
mitochondrial-Ath-ProTGG-171838	0	0	0
mitochondrial-Ath-SerGCT-171840	0	0	0
mitochondrial-Ath-SerGGA-171839	0	0	0
mitochondrial-Ath-SerTGA-171841	0	0	0
mitochondrial-Ath-TrpCCA-171842	2	0	0
mitochondrial-Ath-TyrGTA-171843	0	0	0
mitochondrial-Ath-TyrGTA-171844	0	0	0
mitochondrial-Ath-eMetCAT-171836	0	0	0
mitochondrial-Ath-iMetCAT-171835	0	0	0
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	0	0	0
mitochondrial-Ath-stemloop-309033	0	0	0
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	0	0	0
mitochondrial-Ath-stemloop-358842	0	0	0
mitochondrial-Ath-stemloop-36709	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	0	0	0
mitochondrial-Ath-stemloop-c1924	0	0	0
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
mitochondrial-Bla-iMetCAT-99991	10	0	1
mitochondrial-Lpy-GluTTC-LpChr7B	0	0	0
mitochondrial-Lpy-IleCAT-LpChr36	0	0	0
mitochondrial-Lpy-LysTTT-LpChr1C2	0	0	0
mitochondrial-Lpy-TrpCCA-LpChr43_cplike	0	0	0
mitochondrial-Lpy-eMetCAT-LpChr43_cplike	0	0	0
mitochondrial-Lpy-iMetCAT-LpChr3A	0	0	0
mitochondrial-Osu-GluTTC-Chr1	0	0	0
mitochondrial-Osu-GluTTC-Chr18	0	0	0
mitochondrial-Osu-GluTTC-Chr30	0	0	0
mitochondrial-Osu-IleCAT-Chr25	0	0	0
mitochondrial-Osu-SerGGA-Chr49	0	0	0
mitochondrial-Osu-TrpCCA-Chr2	0	0	0
mitochondrial-Osu-UndetNNN-Chr32	0	0	0
mitochondrial-Osu-iMetCAT-Chr9	0	0	0
nuclear-Ath-AlaAGC-171748	350	103	236
nuclear-Ath-AlaAGC-171749	480	109	331
nuclear-Ath-AlaAGC-183743	238	53	96
nuclear-Ath-AlaCGC-171750	6	6	14
nuclear-Ath-AlaCGC-171752	141	23	113
nuclear-Ath-AlaCGC-183744	7	0	2
nuclear-Ath-AlaTGC-171747	350	82	232
nuclear-Ath-AlaTGC-171751	335	90	185
nuclear-Ath-ArgACG-171679	0	0	0
nuclear-Ath-ArgACG-171680	4	5	2
nuclear-Ath-ArgACG-171681	976	194	121
nuclear-Ath-ArgACG-171682	2	0	1
nuclear-Ath-ArgACG-171683	34	5	9
nuclear-Ath-ArgACG-171772	0	0	0
nuclear-Ath-ArgCCG-171678	1692	318	314
nuclear-Ath-ArgCCG-171686	0	0	0
nuclear-Ath-ArgCCG-183763	0	0	0
nuclear-Ath-ArgCCT-171715	2	0	8
nuclear-Ath-ArgCCT-171716	367	78	90
nuclear-Ath-ArgCCT-171719	1	0	3
nuclear-Ath-ArgTCG-171676	1239	301	209
nuclear-Ath-ArgTCG-171677	0	0	1
nuclear-Ath-ArgTCT-171693	2	0	0
nuclear-Ath-ArgTCT-171694	68	9	5
nuclear-Ath-ArgTCT-171695	0	0	0
nuclear-Ath-ArgTCT-171696	33	4	9
nuclear-Ath-ArgTCT-171714	376	30	26
nuclear-Ath-ArgTCT-171717	17	2	3
nuclear-Ath-ArgTCT-183731	0	0	0
nuclear-Ath-AsnGTT-171725	38	7	18
nuclear-Ath-AsnGTT-171727	248	46	100
nuclear-Ath-AsnGTT-171729	0	0	4
nuclear-Ath-AsnGTT-183736	4	0	0
nuclear-Ath-AsnGTT-183737	0	0	0
nuclear-Ath-AsnGTT-183738	6	1	7
nuclear-Ath-AsnGTT-183739	0	0	3
nuclear-Ath-AspGTC-171804	568	141	269
nuclear-Ath-AspGTC-183754	0	0	0
nuclear-Ath-AspGTC-183755	0	0	0
nuclear-Ath-AspGTC-183756	0	0	178
nuclear-Ath-AspGTC-183757	0	0	5
nuclear-Ath-CysGCA-171684	0	0	0
nuclear-Ath-CysGCA-171742	0	0	0
nuclear-Ath-CysGCA-171756	2	0	0
nuclear-Ath-CysGCA-171757	187	23	141
nuclear-Ath-CysGCA-171758	0	0	0
nuclear-Ath-CysGCA-171759	1	0	3
nuclear-Ath-CysGCA-171762	0	0	0
nuclear-Ath-CysGCA-183716	0	0	0
nuclear-Ath-CysGCA-183742	1	1	0
nuclear-Ath-CysGCA-183745	0	0	0
nuclear-Ath-GlnCTG-171763	42	2	21
nuclear-Ath-GlnCTG-171765	7	1	7
nuclear-Ath-GlnCTG-171773	0	0	0
nuclear-Ath-GlnCTG-171774	20	2	3
nuclear-Ath-GlnCTG-171775	65	6	28
nuclear-Ath-GlnTTG-171777	31	5	6
nuclear-Ath-GlnTTG-183749	0	0	0
nuclear-Ath-GluCTC-171821	0	0	0
nuclear-Ath-GluCTC-171824	57	2	24
nuclear-Ath-GluCTC-171825	27	7	7
nuclear-Ath-GluCTC-183765	0	0	2
nuclear-Ath-GluTTC-171820	0	0	1
nuclear-Ath-GluTTC-171822	3	0	3
nuclear-Ath-GluTTC-171826	676	60	271
nuclear-Ath-GluTTC-183764	1	0	7
nuclear-Ath-GlyCCC-171713	2191	357	1391
nuclear-Ath-GlyGCC-171688	9	4	1
nuclear-Ath-GlyGCC-171690	2	0	21
nuclear-Ath-GlyGCC-171691	973	179	346
nuclear-Ath-GlyGCC-171692	20	2	7
nuclear-Ath-GlyGCC-183730	0	0	0
nuclear-Ath-GlyTCC-171720	138	20	142
nuclear-Ath-HisGTG-171768	136	28	132
nuclear-Ath-HisGTG-171770	122	13	51
nuclear-Ath-HisGTG-183747	1	0	0
nuclear-Ath-HisGTG-183748	0	0	0
nuclear-Ath-IleAAT-171735	1014	225	572
nuclear-Ath-IleAAT-171736	3	1	8
nuclear-Ath-IleTAT-171721	0	0	4
nuclear-Ath-IleTAT-171764	117	33	115
nuclear-Ath-LeuAAG-171816	425	86	183
nuclear-Ath-LeuAAG-171817	488	89	231
nuclear-Ath-LeuCAA-171786	77	14	66
nuclear-Ath-LeuCAA-171787	343	80	97
nuclear-Ath-LeuCAA-171789	961	225	154
nuclear-Ath-LeuCAA-171790	0	0	0
nuclear-Ath-LeuCAA-183751	1	0	6
nuclear-Ath-LeuCAG-171781	1154	223	324
nuclear-Ath-LeuTAA-171698	27	0	20
nuclear-Ath-LeuTAA-171699	28	0	7
nuclear-Ath-LeuTAA-171791	21	3	18
nuclear-Ath-LeuTAG-171673	0	0	3
nuclear-Ath-LeuTAG-171675	282	95	113
nuclear-Ath-LeuTAG-171685	311	83	107
nuclear-Ath-LysCTT-171703	13	0	2
nuclear-Ath-LysCTT-171704	712	81	137
nuclear-Ath-LysCTT-183733	1	0	0
nuclear-Ath-LysTTT-171707	0	0	2
nuclear-Ath-LysTTT-171712	170	22	36
nuclear-Ath-LysTTT-183734	0	0	0
nuclear-Ath-LysTTT-183735	0	0	0
nuclear-Ath-PheGAA-171718	315	92	150
nuclear-Ath-ProAGG-171737	171	17	48
nuclear-Ath-ProAGG-171738	0	0	3
nuclear-Ath-ProAGG-171743	0	0	2
nuclear-Ath-ProCGG-171739	57	5	17
nuclear-Ath-ProCGG-171760	0	0	0
nuclear-Ath-ProCGG-171761	0	0	10
nuclear-Ath-ProTGG-171741	232	24	79
nuclear-Ath-ProTGG-171744	0	0	11
nuclear-Ath-ProTGG-183741	0	0	11
nuclear-Ath-SerAGA-171812	1	0	14
nuclear-Ath-SerAGA-171813	163	45	173
nuclear-Ath-SerAGA-171814	1	0	1
nuclear-Ath-SerAGA-171815	0	0	0
nuclear-Ath-SerAGA-183750	0	0	1
nuclear-Ath-SerAGA-183759	117	25	61
nuclear-Ath-SerAGA-183760	0	0	0
nuclear-Ath-SerAGA-183761	0	0	0
nuclear-Ath-SerAGA-183762	37	7	5
nuclear-Ath-SerCGA-171782	638	225	359
nuclear-Ath-SerCGA-171785	0	0	0
nuclear-Ath-SerCGA-171794	2	1	0
nuclear-Ath-SerGCT-171796	0	0	0
