Taxa	dN	dS	w	dN_terminal_branch	dS_terminal_branch
Solanum	0.082125	1.088985	0.0927652	0.043776	0.471903
Coffea	0.081579	1.202804	0.0738058	0.04323	0.585722
Beta	0.126339	1.305091	0.110247	0.098787	0.896054
Malania	0.056702	0.744506	0.166038	0.038468	0.231684
Dendropemon	0.104474	0.941791	0.150814	0.057983	0.384465
Daenikera	0.111162	0.901526	0.187886	0.064671	0.3442
Ombrophytum	0.12796	1.641228	0.143071	0.041555	0.290449
Lmirabile	0.105171	1.692156	0.130536	0.012642	0.096849
Lpyramidale	0.100286	1.679649	0.0919731	0.007757	0.084342
Balanophora	0.137899	2.03775	0.0799689	0.101347	1.267325
Arabidopsis	0.114942	1.326265	0.0788755	0.074721	0.947332
Citrus	0.104685	0.824098	0.14481	0.064464	0.445165
Prunus	0.074845	0.743312	0.0946414	0.029195	0.308483
Cucumis	0.115777	1.174498	0.0948082	0.070127	0.739669
Glycine	0.120194	1.10183	0.195315	0.067623	0.346224
Anadenanthera	0.109788	0.989657	0.244464	0.057217	0.234051
Populus	0.074556	0.890738	0.0839626	0.041671	0.4963
Vitis	0.049776	0.531105	0.14295	0.035407	0.247689
Nelumbo	0.018703	0.4605	0.0406155	0.018703	0.4605
Zea	NA	NA	1.01337	NA	NA
