Ref_tRNA	CCA_count	CC_count	Other_count
Bacillus_trnI_control	11460	1145	2659
mitochondrial-Ath-AsnGTT-183766	0	0	0
mitochondrial-Ath-AspGTC-171828	0	0	0
mitochondrial-Ath-CysGCA-171829	1	1	0
mitochondrial-Ath-GlnTTG-171830	0	0	0
mitochondrial-Ath-GluTTC-171831	0	0	0
mitochondrial-Ath-GlyGCC-171832	0	0	0
mitochondrial-Ath-HisGTG-171833	0	0	0
mitochondrial-Ath-IleCAT-171837	0	0	0
mitochondrial-Ath-LysTTT-171834	0	0	0
mitochondrial-Ath-ProTGG-171838	0	0	0
mitochondrial-Ath-SerGCT-171840	0	0	0
mitochondrial-Ath-SerGGA-171839	0	0	0
mitochondrial-Ath-SerTGA-171841	0	0	0
mitochondrial-Ath-TrpCCA-171842	0	0	0
mitochondrial-Ath-TyrGTA-171843	0	0	0
mitochondrial-Ath-TyrGTA-171844	0	0	0
mitochondrial-Ath-eMetCAT-171836	0	0	0
mitochondrial-Ath-iMetCAT-171835	0	0	0
mitochondrial-Ath-stemloop-159855	0	0	0
mitochondrial-Ath-stemloop-166441	0	0	0
mitochondrial-Ath-stemloop-286836	0	0	0
mitochondrial-Ath-stemloop-309033	0	0	0
mitochondrial-Ath-stemloop-315873	0	0	0
mitochondrial-Ath-stemloop-32129	0	0	0
mitochondrial-Ath-stemloop-358842	0	0	0
mitochondrial-Ath-stemloop-36709	0	0	0
mitochondrial-Ath-stemloop-49221	0	0	0
mitochondrial-Ath-stemloop-c116660	0	0	0
mitochondrial-Ath-stemloop-c1924	0	0	0
mitochondrial-Ath-stemloop-c219906	0	0	0
mitochondrial-Ath-stemloop-c333147	0	0	0
mitochondrial-Ath-stemloop-c83962	0	0	0
mitochondrial-Bla-iMetCAT-99991	2	0	0
mitochondrial-Lpy-GluTTC-LpChr7B	0	0	0
mitochondrial-Lpy-IleCAT-LpChr36	0	0	0
mitochondrial-Lpy-LysTTT-LpChr1C2	0	0	0
mitochondrial-Lpy-TrpCCA-LpChr43_cplike	0	0	0
mitochondrial-Lpy-eMetCAT-LpChr43_cplike	0	0	0
mitochondrial-Lpy-iMetCAT-LpChr3A	0	0	0
mitochondrial-Osu-GluTTC-Chr1	0	0	0
mitochondrial-Osu-GluTTC-Chr18	0	0	0
mitochondrial-Osu-GluTTC-Chr30	0	0	0
mitochondrial-Osu-IleCAT-Chr25	0	0	0
mitochondrial-Osu-SerGGA-Chr49	0	0	0
mitochondrial-Osu-TrpCCA-Chr2	0	0	0
mitochondrial-Osu-UndetNNN-Chr32	0	0	0
mitochondrial-Osu-iMetCAT-Chr9	0	0	1
nuclear-Ath-AlaAGC-171748	82	16	39
nuclear-Ath-AlaAGC-171749	90	14	50
nuclear-Ath-AlaAGC-183743	65	7	15
nuclear-Ath-AlaCGC-171750	0	0	0
nuclear-Ath-AlaCGC-171752	28	3	16
nuclear-Ath-AlaCGC-183744	0	0	2
nuclear-Ath-AlaTGC-171747	71	15	36
nuclear-Ath-AlaTGC-171751	66	14	18
nuclear-Ath-ArgACG-171679	1	0	0
nuclear-Ath-ArgACG-171680	0	0	0
nuclear-Ath-ArgACG-171681	181	44	15
nuclear-Ath-ArgACG-171682	0	0	1
nuclear-Ath-ArgACG-171683	10	3	0
nuclear-Ath-ArgACG-171772	0	0	0
nuclear-Ath-ArgCCG-171678	362	52	61
nuclear-Ath-ArgCCG-171686	0	0	0
nuclear-Ath-ArgCCG-183763	1	0	0
nuclear-Ath-ArgCCT-171715	0	0	0
nuclear-Ath-ArgCCT-171716	58	14	15
nuclear-Ath-ArgCCT-171719	0	0	0
nuclear-Ath-ArgTCG-171676	252	44	50
nuclear-Ath-ArgTCG-171677	0	0	0
nuclear-Ath-ArgTCT-171693	0	0	0
nuclear-Ath-ArgTCT-171694	10	0	2
nuclear-Ath-ArgTCT-171695	0	0	0
nuclear-Ath-ArgTCT-171696	21	2	2
nuclear-Ath-ArgTCT-171714	76	3	5
nuclear-Ath-ArgTCT-171717	0	0	1
nuclear-Ath-ArgTCT-183731	0	0	0
nuclear-Ath-AsnGTT-171725	7	1	4
nuclear-Ath-AsnGTT-171727	28	3	8
nuclear-Ath-AsnGTT-171729	0	0	1
nuclear-Ath-AsnGTT-183736	0	0	0
nuclear-Ath-AsnGTT-183737	0	0	0
nuclear-Ath-AsnGTT-183738	0	0	1
nuclear-Ath-AsnGTT-183739	0	0	1
nuclear-Ath-AspGTC-171804	102	12	35
nuclear-Ath-AspGTC-183754	0	0	0
nuclear-Ath-AspGTC-183755	0	0	0
nuclear-Ath-AspGTC-183756	0	0	31
nuclear-Ath-AspGTC-183757	0	0	4
nuclear-Ath-CysGCA-171684	0	0	0
nuclear-Ath-CysGCA-171742	0	0	0
nuclear-Ath-CysGCA-171756	0	0	0
nuclear-Ath-CysGCA-171757	24	1	41
nuclear-Ath-CysGCA-171758	0	0	0
nuclear-Ath-CysGCA-171759	0	0	3
nuclear-Ath-CysGCA-171762	0	0	0
nuclear-Ath-CysGCA-183716	0	0	0
nuclear-Ath-CysGCA-183742	0	0	0
nuclear-Ath-CysGCA-183745	0	0	0
nuclear-Ath-GlnCTG-171763	4	1	3
nuclear-Ath-GlnCTG-171765	2	0	0
nuclear-Ath-GlnCTG-171773	0	0	0
nuclear-Ath-GlnCTG-171774	1	0	1
nuclear-Ath-GlnCTG-171775	4	0	4
nuclear-Ath-GlnTTG-171777	0	0	4
nuclear-Ath-GlnTTG-183749	0	0	0
nuclear-Ath-GluCTC-171821	0	0	0
